#Approved Symbol	Previous Symbols	Synonyms
A1BG		
ADARB1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d
ADARB2		RED2, hRED2, ADAR3
ADAT1		
ADCP1		
ADCY1		AC1
ADCY2		HBAC2, KIAA1060, AC2
ADCY3		AC3
ADCY4		AC4
ADCY5		AC5
ADCY6		AC6
ADCY7		KIAA0037, AC7
ADCY8	ADCY3	HBAC1, AC8
ADCY9		AC9
ADCYAP1		PACAP
ADCYAP1R1		PAC1, PACAPR, PAC1R
ADD1		
ADD2		ADDB
ADD3	ADDL	
ADFN		
PLIN2	ADFP	ADRP
ADH1A	ADH1	
ADH1B	ADH2	
ADH1C	ADH3	
ADH4		ADH-2
ADH5	FDH	ADH-3, ADHX
ADH6		ADH-5
ADH7		ADH-4
ADK		AK
ADM		AM
ADORA1		RDC7
ADORA2A	ADORA2	RDC8
ADORA2B		
ADORA2BP1	ADORA2BP	
ADORA3		AD026
ADPRH		ARH1
PARP1	PPOL, ADPRT	PARP
PARP4	ADPRTL1	VAULT3, p193, VPARP, VWA5C
PARP2	ADPRTL2	
PARP3	ADPRTL3	ADPRT3, IRT1, hPARP-3, pADPRT-3
PARP4P3	ADPRTL4	
PARP1P1	PPOLP1, ADPRTP1	
PARP1P2	PPOLP2, ADPRTP2	
ADRA1A	ADRA1C	ADRA1L1
ADRA1B		
ADRA1D		ADRA1R, ADRA1A, ADRA1
ADRA2A	ADRA2, ADRA2R	ADRAR
ADRA2B	ADRA2L1, ADRA2RL1	ADRARL1
ADRA2C	ADRA2L2, ADRA2RL2	ADRARL2
ADRB1	ADRB1R	
ADRB2	ADRB2R	ADRBR, BAR, B2AR
ADRB3		
ADRBK1		GRK2, BARK1
ADRBK2		GRK3, BARK2
ADSL		
ADSS		
AP1B1P1	ADTB1L1	dJ127L4.2
AP1B1P2	ADTB1L2	dJ127L4.3
AEBP1		ACLP
CRISP1	AEGL1	CRISP-1, ARP, HUMARP, HSCRISP1D, HSCRISP1G
AES		GRG5, TLE5
AF8T		
AFA		
AFD1		
AFG3L1P	AFG3, AFG3L1	
AFG3L2	SCA28	
AFM		ALB2, ALBA
AFP	HPAFP	FETA
AGA		ASRG
ACAN	MSK16, CSPG1, AGC1	CSPGCP
AGER		RAGE
AGL		
AGMX2		
AGPAT1		LPAAT-alpha
AGPAT2	BSCL	
AGPAT3		LPAAT-gamma
AGPS		ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S
AGR2		XAG-2, HAG-2, AG2, PDIA17
AGRN		AGRIN
AGRP		Agrt, ART, ASIP2
AGT	SERPINA8	
AGTR1	AGTR1B	AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B
AGTR2		AT2, MRX88
